Trial_Id,AttractivenessPicture,AveragenessPicture,BeautyPicture,DimorphismPicture,DominancePicture,HealthPicture,SexualAttractivenessPicture,SympathyPicture,TrustworthinessPicture
2,3,4,3,4,2,5,1,4,5
31,2,2,2,5,1,4,1,3,5
13,1,5,2,5,3,5,1,5,5
7,3,6,3,5,4,5,1,5,6
17,1,5,2,5,5,4,1,3,4
20,4,5,4,6,3,5,1,5,5
25,3,4,5,6,2,6,1,6,6
23,2,4,2,5,1,5,1,5,5
15,1,4,3,6,1,6,1,5,6
36,3,5,4,6,5,6,1,6,6
10,3,5,3,6,2,6,1,6,6
4,4,,4,5,2,6,1,6,6
26,4,4,6,7,2,6,1,6,5
12,2,2,3,7,2,6,1,4,6
6,3,5,6,7,1,7,1,7,6
32,1,4,1,5,1,2,1,4,6
11,3,5,4,6,1,6,1,7,5
3,3,5,6,6,4,7,1,7,7
16,2,5,2,4,1,5,1,4,5
18,5,6,5,7,6,6,4,6,6
22,5,7,5,6,4,6,1,7,7
29,2,5,3,5,1,4,1,4,5
35,2,6,3,5,4,6,1,5,5
40,1,5,2,4,5,5,1,3,4
5,2,6,5,6,4,6,2,6,6
39,2,4,2,6,2,6,1,4,5
34,1,4,2,4,1,6,1,4,6
33,1,4,2,4,1,5,1,5,5
8,2,5,2,6,,7,1,4,6
9,2,5,2,6,3,5,1,6,6
19,3,6,2,6,1,6,1,6,6
38,6,7,5,6,5,7,4,6,6
21,5,6,4,6,3,6,1,6,6
37,4,3,4,6,3,6,,6,6
1,4,6,5,6,6,6,1,5,6
24,2,4,2,5,1,6,1,6,6
14,1,5,3,6,1,6,1,6,6
27,1,4,3,4,3,5,1,5,6
28,2,4,3,5,3,5,1,4,5
30,2,3,2,5,4,6,1,5,5
